"","sub","rotation","imagename","match","imgID","block","correct","response_time"
"199",1,60,"054_Schrank_Bueroschrank","match",54,2,1,911
"200",1,0,"044_Lampe_Tischleuchte","mismatch",44,2,1,860
"201",1,0,"098_Auto_Van","match",98,3,1,420
"202",1,120,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,3,1,550
"203",1,60,"015_Blume_Tulpen","match",15,3,1,470
"204",1,60,"035_Kaffeemaschine_Espressomaschine","match",35,3,1,721
"205",1,60,"079_Tisch_Schreibtisch","mismatch",79,3,1,854
"206",1,240,"032_Kopfhoerer_Earbudohrhoerer","match",32,3,1,684
"207",1,300,"056_Seife_Fluessigseife","match",56,3,0,597
"208",1,300,"078_Tisch_Sofatisch","match",78,3,1,995
"209",1,120,"059_Sitzbank_Holzbank_ohne_Lehne","mismatch",59,3,1,1403
"210",1,0,"076_Tisch_Holztisch","match",76,3,1,560
"211",1,120,"027_Kamera_Spiegelreflexkamera","mismatch",27,3,1,920
"212",1,180,"077_Tisch_Rundtisch","mismatch",77,3,1,751
"213",1,60,"049_Nuss_Pistazie","match",49,3,1,791
"214",1,120,"071_Stuhl_Schreibtischstuhl","match",71,3,0,1023
"215",1,120,"018_Computer_Tablet","mismatch",18,3,1,980
"216",1,60,"057_Seife_Kernseife","match",57,3,1,725
"217",1,300,"025_Glas_Weinglas","mismatch",25,3,1,543
"218",1,180,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,3,1,566
"219",1,180,"038_Toaster_2ScheibenToaster","match",38,3,1,1191
"220",1,300,"070_Stuhl_Schalenstuhl","mismatch",70,3,1,663
"221",1,60,"012_Blume_Orchidee","mismatch",12,3,1,691
"222",1,60,"048_Nuss_Mandel","mismatch",48,3,1,568
"223",1,240,"064_Sofa_Ledersofa","mismatch",64,3,1,2028
"224",1,300,"017_Computer_PC","mismatch",17,3,1,1086
"225",1,120,"100_Besteck_Loeffel","match",100,3,1,582
"226",1,120,"067_Stuhl_Buerostuhl","match",67,3,1,613
"227",1,60,"045_Lampe_Wandlampe","mismatch",45,3,1,622
"228",1,60,"086_Auto_Polizeiauto","mismatch",86,3,1,833
"229",1,180,"050_Nuss_Wallnuss","match",50,3,1,504
"230",1,60,"010_Blume_Gaenseblume","mismatch",10,3,1,638
"231",1,120,"085_Auto_Pickuptruck","match",85,3,1,1259
"232",1,0,"089_Eimer_Muelleimer","match",89,3,1,609
"233",1,60,"008_Bildschirm_Desktop","match",8,3,1,699
"234",1,180,"044_Lampe_Tischleuchte","mismatch",44,3,1,573
"235",1,300,"062_Sofa_Dreiersofa","match",62,3,1,715
"236",1,300,"084_Ventilator_Tischventilator","mismatch",84,3,1,599
"237",1,60,"087_Auto_Panzer","mismatch",87,3,1,850
"238",1,120,"051_Regal_Holzregal","match",51,3,1,691
"239",1,300,"091_Flugzeug_Segelflieger","mismatch",91,3,1,493
"240",1,60,"037_Mixer_Standmixer","mismatch",37,3,1,692
"241",1,60,"022_Gitarre_Elektrogitarre","match",22,3,0,828
"242",1,300,"053_Regal_Wandregal","mismatch",53,3,1,1725
"243",1,120,"004_Baum_Weide","mismatch",4,3,1,890
"244",1,120,"005_Bett_Doppelbett","match",5,3,1,1281
"245",1,240,"060_Sitzbank_Schaukelbank","mismatch",60,3,1,658
"246",1,240,"034_Korb_Waeschekorb","mismatch",34,3,1,693
"247",1,0,"094_Boot_Segelschiff","mismatch",94,3,1,607
"248",1,120,"081_Uhr_Digitaluhr","match",81,3,1,1193
"249",1,60,"052_Regal_Metallregal","match",52,3,1,845
"250",1,0,"080_Uhr_Armbanduhr","match",80,3,1,597
"251",1,300,"096_Auto_Oldtimer","match",96,3,1,665
"252",1,120,"063_Sofa_Ecksofa","match",63,3,1,1062
"253",1,120,"097_Besteck_Gabel","match",97,3,1,616
"254",1,0,"041_Lampe_Schreibtischlampe","match",41,3,1,650
"255",1,0,"030_Klavier_Keyboard","match",30,3,1,1771
"256",1,0,"072_Sessel_Ledersessel","mismatch",72,3,1,653
"257",1,120,"036_Kaffeemaschine_Filterkaffeemaschine","match",36,3,0,1188
"258",1,180,"061_Sitzbank_Baumbank","match",61,3,1,824
"259",1,120,"047_Nuss_Erdnuss","match",47,3,1,708
"260",1,120,"099_Eimer_Wassereimer","mismatch",99,3,1,693
"261",1,60,"023_Glas_Sektglas","mismatch",23,3,1,719
"262",1,60,"095_Boot_Kreuzfahrtschiff","mismatch",95,3,1,1484
"263",1,180,"088_Flugzeug_Kampfflieger","match",88,3,1,1001
"264",1,0,"093_Boot_Kanu","mismatch",93,3,1,733
"265",1,180,"069_Stuhl_Rollstuhl","mismatch",69,3,1,532
"266",1,60,"046_Besteck_Messer","mismatch",46,3,1,1123
"267",1,240,"006_Bett_Einzelbett","mismatch",6,3,1,644
"268",1,0,"009_Bildschirm_Flachbildfernseher","mismatch",9,3,1,1230
"269",1,0,"082_Uhr_Wanduhr","mismatch",82,3,1,608
"270",1,180,"024_Glas_Trinkglas","mismatch",24,3,1,598
"271",1,240,"001_Baum_Bonsai","match",1,3,1,707
"272",1,240,"054_Schrank_Bueroschrank","mismatch",54,3,1,1024
"273",1,0,"068_Stuhl_Holzstuhl","match",68,3,1,1128
"274",1,120,"016_Computer_Laptop","mismatch",16,3,1,530
"275",1,240,"013_Blume_Rosen","match",13,3,1,886
"276",1,300,"042_Lampe_Stehlampe","mismatch",42,3,1,690
"277",1,60,"065_Sofa_Zweiersofa","match",65,3,1,576
"278",1,240,"014_Blume_Sonnenblume","mismatch",14,3,1,865
"279",1,240,"026_Kamera_Digitalkamera","mismatch",26,3,1,834
"280",1,120,"003_Baum_Tanne","match",3,3,0,1383
"281",1,0,"073_Telefon_Schnurtelefon","mismatch",73,3,1,686
"282",1,300,"019_Drucker_Heimdrucker","match",19,3,1,836
"283",1,60,"020_Drucker_Multifunktionsdrucker","mismatch",20,3,0,1076
"284",1,180,"029_Klavier_Fluegel","match",29,3,1,1325
"285",1,120,"007_Bett_Krankenhausbett","match",7,3,0,1354
"286",1,120,"031_Klavier_Pianino","mismatch",31,3,1,651
"287",1,60,"058_Sitzbank_Holzbank_mit_Lehne","mismatch",58,3,1,945
"288",1,0,"083_Ventilator_Standventilator","mismatch",83,3,1,565
"289",1,0,"092_Boot_Ruderboot","mismatch",92,3,1,885
"290",1,120,"055_Schrank_Kleiderschrank","mismatch",55,3,1,926
"291",1,240,"040_Lampe_Deckenlampe","mismatch",40,3,1,786
"292",1,180,"021_Gitarre_Akustikgitarre","match",21,3,1,801
"293",1,180,"011_Blume_Kaktus","mismatch",11,3,1,702
"294",1,180,"039_Wasserkocher_modernerWasserkocher","mismatch",39,3,1,905
"295",1,180,"028_Wasserkocher_retroWasserkocher","mismatch",28,3,1,624
"296",1,240,"002_Baum_Palme","match",2,3,1,490
"297",1,300,"074_Telefon_Smartphone","match",74,3,1,801
"298",1,180,"066_Stuhl_Barstuhl","match",66,3,1,752
"299",1,180,"043_Lampe_Strassenlaterne","mismatch",43,3,1,851
"300",1,180,"075_Tisch_Etagentisch","mismatch",75,3,1,1103
"301",1,180,"062_Sofa_Dreiersofa","mismatch",62,4,1,1229
"302",1,0,"091_Flugzeug_Segelflieger","match",91,4,1,585
"303",1,180,"063_Sofa_Ecksofa","mismatch",63,4,1,960
"304",1,240,"049_Nuss_Pistazie","mismatch",49,4,1,832
"305",1,0,"020_Drucker_Multifunktionsdrucker","match",20,4,1,761
"306",1,120,"075_Tisch_Etagentisch","mismatch",75,4,1,683
"307",1,240,"074_Telefon_Smartphone","match",74,4,1,699
"308",1,240,"022_Gitarre_Elektrogitarre","mismatch",22,4,1,1021
"309",1,0,"023_Glas_Sektglas","mismatch",23,4,1,643
"310",1,180,"010_Blume_Gaenseblume","match",10,4,1,587
"311",1,0,"066_Stuhl_Barstuhl","mismatch",66,4,1,748
"312",1,60,"097_Besteck_Gabel","mismatch",97,4,1,793
"313",1,60,"064_Sofa_Ledersofa","match",64,4,1,1070
"314",1,300,"047_Nuss_Erdnuss","mismatch",47,4,1,596
"315",1,0,"048_Nuss_Mandel","match",48,4,1,574
"316",1,300,"052_Regal_Metallregal","mismatch",52,4,1,1177
"317",1,240,"039_Wasserkocher_modernerWasserkocher","match",39,4,1,1234
"318",1,300,"089_Eimer_Muelleimer","mismatch",89,4,1,755
"319",1,180,"072_Sessel_Ledersessel","mismatch",72,4,1,728
"320",1,180,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,4,1,891
"321",1,180,"035_Kaffeemaschine_Espressomaschine","match",35,4,1,1834
"322",1,0,"042_Lampe_Stehlampe","match",42,4,1,675
"323",1,240,"065_Sofa_Zweiersofa","mismatch",65,4,1,599
"324",1,0,"090_Flugzeug_Zweiteweltkriegsflieger","mismatch",90,4,1,543
"325",1,180,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,4,1,1530
"326",1,0,"077_Tisch_Rundtisch","match",77,4,1,690
"327",1,120,"006_Bett_Einzelbett","mismatch",6,4,1,1111
"328",1,120,"017_Computer_PC","mismatch",17,4,1,606
"329",1,300,"040_Lampe_Deckenlampe","match",40,4,1,1162
"330",1,300,"068_Stuhl_Holzstuhl","mismatch",68,4,1,861
"331",1,60,"030_Klavier_Keyboard","match",30,4,0,1973
"332",1,60,"021_Gitarre_Akustikgitarre","mismatch",21,4,1,836
"333",1,0,"060_Sitzbank_Schaukelbank","mismatch",60,4,1,1160
"334",1,240,"027_Kamera_Spiegelreflexkamera","mismatch",27,4,1,544
"335",1,120,"053_Regal_Wandregal","mismatch",53,4,1,569
"336",1,180,"073_Telefon_Schnurtelefon","mismatch",73,4,1,560
"337",1,300,"087_Auto_Panzer","mismatch",87,4,1,508
"338",1,120,"094_Boot_Segelschiff","match",94,4,1,697
"339",1,0,"002_Baum_Palme","mismatch",2,4,1,543
"340",1,0,"011_Blume_Kaktus","match",11,4,1,930
"341",1,300,"100_Besteck_Loeffel","match",100,4,1,607
"342",1,60,"071_Stuhl_Schreibtischstuhl","mismatch",71,4,1,609
"343",1,60,"033_Kopfhoerer_Muschelkopfhoerer","match",33,4,1,723
"344",1,120,"014_Blume_Sonnenblume","match",14,4,1,661
"345",1,240,"083_Ventilator_Standventilator","mismatch",83,4,1,748
"346",1,300,"005_Bett_Doppelbett","match",5,4,1,731
"347",1,240,"031_Klavier_Pianino","match",31,4,0,1215
"348",1,300,"045_Lampe_Wandlampe","match",45,4,0,804
"349",1,120,"082_Uhr_Wanduhr","match",82,4,0,1045
"350",1,120,"057_Seife_Kernseife","mismatch",57,4,1,1030
"351",1,0,"012_Blume_Orchidee","mismatch",12,4,1,1556
"352",1,0,"019_Drucker_Heimdrucker","mismatch",19,4,1,1124
"353",1,300,"043_Lampe_Strassenlaterne","match",43,4,1,632
"354",1,240,"080_Uhr_Armbanduhr","mismatch",80,4,1,1015
"355",1,120,"044_Lampe_Tischleuchte","match",44,4,1,601
"356",1,300,"088_Flugzeug_Kampfflieger","match",88,4,1,1075
"357",1,180,"008_Bildschirm_Desktop","match",8,4,1,617
"358",1,240,"069_Stuhl_Rollstuhl","match",69,4,1,587
"359",1,0,"086_Auto_Polizeiauto","match",86,4,1,679
"360",1,240,"084_Ventilator_Tischventilator","mismatch",84,4,1,517
"361",1,300,"018_Computer_Tablet","match",18,4,1,996
"362",1,60,"003_Baum_Tanne","match",3,4,1,628
"363",1,0,"081_Uhr_Digitaluhr","match",81,4,1,588
"364",1,180,"078_Tisch_Sofatisch","mismatch",78,4,1,606
"365",1,240,"092_Boot_Ruderboot","match",92,4,1,602
"366",1,0,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,4,1,1101
"367",1,180,"034_Korb_Waeschekorb","mismatch",34,4,1,769
"368",1,60,"007_Bett_Krankenhausbett","match",7,4,1,728
"369",1,60,"028_Wasserkocher_retroWasserkocher","mismatch",28,4,1,1088
"370",1,120,"013_Blume_Rosen","match",13,4,1,692
"371",1,180,"037_Mixer_Standmixer","match",37,4,1,641
"372",1,120,"076_Tisch_Holztisch","mismatch",76,4,1,781
"373",1,120,"038_Toaster_2ScheibenToaster","match",38,4,1,676
"374",1,180,"026_Kamera_Digitalkamera","match",26,4,1,628
"375",1,0,"029_Klavier_Fluegel","mismatch",29,4,1,636
"376",1,180,"041_Lampe_Schreibtischlampe","match",41,4,1,641
"377",1,180,"051_Regal_Holzregal","match",51,4,0,733
"378",1,300,"024_Glas_Trinkglas","mismatch",24,4,1,2276
"379",1,60,"004_Baum_Weide","match",4,4,1,654
"380",1,0,"079_Tisch_Schreibtisch","mismatch",79,4,1,732
"381",1,180,"070_Stuhl_Schalenstuhl","match",70,4,1,802
"382",1,240,"015_Blume_Tulpen","match",15,4,1,616
"383",1,60,"093_Boot_Kanu","mismatch",93,4,1,765
"384",1,180,"009_Bildschirm_Flachbildfernseher","match",9,4,1,596
"385",1,0,"099_Eimer_Wassereimer","mismatch",99,4,1,1045
"386",1,180,"085_Auto_Pickuptruck","mismatch",85,4,1,745
"387",1,240,"016_Computer_Laptop","match",16,4,1,670
"388",1,0,"056_Seife_Fluessigseife","mismatch",56,4,1,875
"389",1,180,"098_Auto_Van","mismatch",98,4,1,584
"390",1,240,"096_Auto_Oldtimer","match",96,4,1,532
"391",1,180,"046_Besteck_Messer","match",46,4,1,576
"392",1,180,"001_Baum_Bonsai","match",1,4,1,586
