"","sub","rotation","imagename","match","imgID","block","correct","response_time","log_RT"
"3590",6,300,"024_Glas_Trinkglas","match",24,6,1,588,6.37672694789863
"3591",6,300,"051_Regal_Holzregal","match",51,6,1,392,5.97126183979046
"3593",7,0,"043_Lampe_Strassenlaterne","match",43,1,1,568,6.34212141872115
"3594",7,120,"012_Blume_Orchidee","match",12,1,1,851,6.74641212857337
"3595",7,120,"061_Sitzbank_Baumbank","mismatch",61,1,1,890,6.79122146272619
"3596",7,0,"014_Blume_Sonnenblume","match",14,1,1,507,6.22851100359118
"3597",7,300,"013_Blume_Rosen","match",13,1,1,643,6.46614472423762
"3598",7,300,"064_Sofa_Ledersofa","match",64,1,1,880,6.77992190747225
"3599",7,240,"051_Regal_Holzregal","mismatch",51,1,1,658,6.48920493132532
"3600",7,180,"089_Eimer_Muelleimer","mismatch",89,1,1,1053,6.95939851213398
"3601",7,180,"078_Tisch_Sofatisch","match",78,1,1,612,6.41673228251233
"3602",7,0,"055_Schrank_Kleiderschrank","match",55,1,1,597,6.3919171133926
"3603",7,120,"058_Sitzbank_Holzbank_mit_Lehne","mismatch",58,1,1,605,6.40522845803084
"3604",7,60,"097_Besteck_Gabel","match",97,1,1,458,6.12686918411419
"3605",7,120,"026_Kamera_Digitalkamera","match",26,1,1,708,6.56244409369372
"3606",7,240,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,1,1,563,6.33327962813969
"3607",7,180,"039_Wasserkocher_modernerWasserkocher","mismatch",39,1,1,591,6.3818160174061
"3608",7,240,"010_Blume_Gaenseblume","mismatch",10,1,1,413,6.02344759296103
"3609",7,240,"100_Besteck_Loeffel","mismatch",100,1,1,970,6.87729607149743
"3610",7,60,"038_Toaster_2ScheibenToaster","match",38,1,1,1175,7.06902342657826
"3611",7,120,"015_Blume_Tulpen","mismatch",15,1,1,536,6.2841341610708
"3613",7,120,"056_Seife_Fluessigseife","mismatch",56,1,1,692,6.53958595561767
"3614",7,180,"029_Klavier_Fluegel","match",29,1,1,486,6.18620862390049
"3615",7,0,"019_Drucker_Heimdrucker","mismatch",19,1,1,1526,7.3304052118444
"3616",7,120,"025_Glas_Weinglas","mismatch",25,1,1,589,6.37842618365159
"3617",7,0,"073_Telefon_Schnurtelefon","mismatch",73,1,1,467,6.1463292576689
"3618",7,0,"027_Kamera_Spiegelreflexkamera","mismatch",27,1,1,447,6.10255859461357
"3619",7,120,"023_Glas_Sektglas","match",23,1,1,334,5.8111409929767
"3620",7,120,"028_Wasserkocher_retroWasserkocher","mismatch",28,1,1,424,6.04973345523196
"3621",7,300,"076_Tisch_Holztisch","mismatch",76,1,1,499,6.21260609575152
"3622",7,300,"062_Sofa_Dreiersofa","match",62,1,1,468,6.14846829591765
"3623",7,60,"068_Stuhl_Holzstuhl","mismatch",68,1,1,469,6.15060276844628
"3624",7,300,"065_Sofa_Zweiersofa","match",65,1,1,677,6.51767127291227
"3626",7,180,"041_Lampe_Schreibtischlampe","match",41,1,1,901,6.80350525760834
"3627",7,240,"098_Auto_Van","mismatch",98,1,1,640,6.46146817635372
"3628",7,180,"066_Stuhl_Barstuhl","match",66,1,1,1056,6.96224346426621
"3629",7,300,"047_Nuss_Erdnuss","match",47,1,1,701,6.55250788703459
"3631",7,300,"017_Computer_PC","mismatch",17,1,1,1345,7.20414929203594
"3632",7,0,"077_Tisch_Rundtisch","mismatch",77,1,1,1204,7.09340462586877
"3633",7,0,"049_Nuss_Pistazie","match",49,1,1,757,6.62936325343745
"3634",7,60,"094_Boot_Segelschiff","match",94,1,1,632,6.44888939414686
"3635",7,180,"042_Lampe_Stehlampe","match",42,1,1,573,6.35088571671474
"3636",7,0,"087_Auto_Panzer","mismatch",87,1,1,771,6.64768837356333
"3637",7,180,"044_Lampe_Tischleuchte","match",44,1,1,470,6.1527326947041
"3638",7,0,"074_Telefon_Smartphone","match",74,1,1,629,6.44413125670044
"3639",7,0,"084_Ventilator_Tischventilator","mismatch",84,1,1,510,6.23441072571837
"3641",7,120,"086_Auto_Polizeiauto","mismatch",86,1,1,879,6.77878489768518
"3642",7,120,"046_Besteck_Messer","mismatch",46,1,1,662,6.49526555593701
"3643",7,300,"020_Drucker_Multifunktionsdrucker","mismatch",20,1,1,1201,7.09090982207998
"3644",7,240,"022_Gitarre_Elektrogitarre","mismatch",22,1,1,1596,7.37525577800975
"3645",7,120,"005_Bett_Doppelbett","match",5,1,1,754,6.62539236800796
"3646",7,60,"093_Boot_Kanu","match",93,1,1,1276,7.15148546390474
"3647",7,0,"060_Sitzbank_Schaukelbank","mismatch",60,1,1,771,6.64768837356333
"3648",7,240,"021_Gitarre_Akustikgitarre","match",21,1,1,899,6.80128303447162
"3649",7,240,"035_Kaffeemaschine_Espressomaschine","mismatch",35,1,1,724,6.58479139238572
"3650",7,120,"052_Regal_Metallregal","mismatch",52,1,1,604,6.40357419793482
"3651",7,0,"037_Mixer_Standmixer","mismatch",37,1,1,521,6.25575004175337
"3652",7,180,"048_Nuss_Mandel","mismatch",48,1,1,661,6.49375383985169
"3653",7,0,"018_Computer_Tablet","match",18,1,1,1053,6.95939851213398
"3654",7,180,"085_Auto_Pickuptruck","mismatch",85,1,1,758,6.63068338564237
"3656",7,60,"092_Boot_Ruderboot","mismatch",92,1,1,1249,7.13009851012558
"3657",7,300,"075_Tisch_Etagentisch","mismatch",75,1,1,1688,7.4312996751559
"3658",7,120,"071_Stuhl_Schreibtischstuhl","match",71,1,1,1016,6.92362862813843
"3659",7,120,"050_Nuss_Wallnuss","match",50,1,1,526,6.26530121273771
"3660",7,120,"040_Lampe_Deckenlampe","match",40,1,1,1167,7.06219163228656
"3661",7,180,"001_Baum_Bonsai","mismatch",1,1,1,534,6.2803958389602
"3662",7,120,"070_Stuhl_Schalenstuhl","mismatch",70,1,1,476,6.16541785423142
"3663",7,300,"067_Stuhl_Buerostuhl","mismatch",67,1,1,452,6.11368217983223
"3664",7,240,"009_Bildschirm_Flachbildfernseher","mismatch",9,1,1,699,6.54965074223381
"3665",7,180,"006_Bett_Einzelbett","mismatch",6,1,1,1497,7.31121838441963
"3667",7,60,"091_Flugzeug_Segelflieger","mismatch",91,1,1,894,6.79570577517351
"3668",7,120,"090_Flugzeug_Zweiteweltkriegsflieger","mismatch",90,1,1,773,6.65027904858742
"3669",7,300,"088_Flugzeug_Kampfflieger","mismatch",88,1,1,779,6.65801104587075
"3670",7,0,"030_Klavier_Keyboard","match",30,1,1,897,6.7990558620588
"3671",7,240,"072_Sessel_Ledersessel","mismatch",72,1,1,512,6.23832462503951
"3672",7,0,"083_Ventilator_Standventilator","mismatch",83,1,1,537,6.28599809450886
"3673",7,300,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,1,1,711,6.56667242980324
"3674",7,120,"034_Korb_Waeschekorb","match",34,1,1,670,6.50727771238501
"3675",7,0,"079_Tisch_Schreibtisch","match",79,1,1,995,6.90274273715859
"3676",7,180,"095_Boot_Kreuzfahrtschiff","match",95,1,1,639,6.45990445437753
"3677",7,0,"099_Eimer_Wassereimer","match",99,1,1,547,6.30444880242198
"3678",7,120,"063_Sofa_Ecksofa","match",63,1,1,997,6.90475076996184
"3679",7,300,"053_Regal_Wandregal","match",53,1,1,874,6.77308037565554
"3680",7,180,"007_Bett_Krankenhausbett","mismatch",7,1,1,944,6.8501261661455
"3681",7,120,"080_Uhr_Armbanduhr","match",80,1,1,915,6.81892406527552
"3682",7,180,"024_Glas_Trinkglas","match",24,1,1,508,6.23048144757848
"3683",7,0,"096_Auto_Oldtimer","mismatch",96,1,1,657,6.48768401848461
"3685",7,300,"069_Stuhl_Rollstuhl","mismatch",69,1,1,812,6.69950034016168
"3686",7,0,"081_Uhr_Digitaluhr","mismatch",81,1,1,816,6.70441435496411
"3687",7,300,"059_Sitzbank_Holzbank_ohne_Lehne","mismatch",59,1,1,520,6.25382881157547
"3688",7,60,"054_Schrank_Bueroschrank","mismatch",54,1,1,1098,7.00124562206948
"3690",7,0,"004_Baum_Weide","match",4,1,1,690,6.5366915975913
"3691",7,300,"011_Blume_Kaktus","match",11,1,1,1154,7.05098944706805
"3692",7,240,"008_Bildschirm_Desktop","match",8,1,1,704,6.55677835615804
"3693",7,240,"099_Eimer_Wassereimer","mismatch",99,2,1,1010,6.9177056098353
"3694",7,240,"070_Stuhl_Schalenstuhl","match",70,2,1,610,6.41345895716736
"3695",7,0,"098_Auto_Van","mismatch",98,2,1,578,6.35957386867238
"3696",7,60,"085_Auto_Pickuptruck","mismatch",85,2,1,517,6.24804287450843
"3697",7,0,"029_Klavier_Fluegel","match",29,2,1,405,6.00388706710654
"3698",7,120,"064_Sofa_Ledersofa","mismatch",64,2,1,540,6.29156913955832
"3699",7,120,"008_Bildschirm_Desktop","match",8,2,1,438,6.08221891037645
"3701",7,300,"080_Uhr_Armbanduhr","match",80,2,1,1059,6.96508034560141
"3702",7,0,"056_Seife_Fluessigseife","match",56,2,1,1188,7.08002649992259
"3703",7,180,"052_Regal_Metallregal","match",52,2,1,1145,7.04315991598834
"3704",7,60,"089_Eimer_Muelleimer","match",89,2,1,1371,7.22329567956231
"3705",7,300,"092_Boot_Ruderboot","match",92,2,1,536,6.2841341610708
"3706",7,240,"071_Stuhl_Schreibtischstuhl","mismatch",71,2,1,657,6.48768401848461
"3707",7,240,"083_Ventilator_Standventilator","mismatch",83,2,1,820,6.7093043402583
"3708",7,180,"051_Regal_Holzregal","match",51,2,1,831,6.72262979485545
"3709",7,300,"084_Ventilator_Tischventilator","mismatch",84,2,1,967,6.87419849545329
"3710",7,300,"038_Toaster_2ScheibenToaster","match",38,2,1,1374,7.22548147278229
"3711",7,60,"044_Lampe_Tischleuchte","mismatch",44,2,1,780,6.65929391968364
"3712",7,60,"026_Kamera_Digitalkamera","mismatch",26,2,1,669,6.50578406012823
"3713",7,180,"072_Sessel_Ledersessel","mismatch",72,2,1,617,6.42486902390539
"3714",7,240,"023_Glas_Sektglas","match",23,2,1,482,6.1779441140506
"3715",7,180,"043_Lampe_Strassenlaterne","match",43,2,1,681,6.52356230614951
"3716",7,60,"025_Glas_Weinglas","mismatch",25,2,1,612,6.41673228251233
"3717",7,240,"037_Mixer_Standmixer","match",37,2,1,697,6.54678541076052
"3718",7,60,"077_Tisch_Rundtisch","match",77,2,1,980,6.88755257166462
"3719",7,60,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,2,1,611,6.4150969591716
"3720",7,300,"086_Auto_Polizeiauto","match",86,2,1,675,6.51471269087253
"3721",7,300,"018_Computer_Tablet","mismatch",18,2,1,625,6.4377516497364
