"","sub","consistency","rotation","imgID","imagename","movable","correct","response_time"
"259",11,"incon","noncanon",72,"072_Sessel_Ledersessel",0,0,988
"260",11,"con","canon",6,"006_Bett_Einzelbett",0,1,1095
"261",11,"con","canon",44,"044_Lampe_Tischleuchte",1,1,727
"262",11,"incon","canon",99,"099_Eimer_Wassereimer",1,1,728
"263",11,"incon","noncanon",23,"023_Glas_Sektglas",1,1,1266
"264",11,"incon","noncanon",63,"063_Sofa_Ecksofa",0,1,650
"265",11,"con","canon",21,"021_Gitarre_Akustikgitarre",1,1,456
"266",11,"incon","noncanon",109,"109_Router",1,0,1014
"267",11,"incon","noncanon",104,"104_Fahrradstaender",1,1,1198
"268",11,"con","noncanon",60,"060_Sitzbank_Schaukelbank",0,1,876
"269",11,"incon","canon",48,"048_Nuss_Mandel",1,1,970
"270",11,"con","canon",117,"117_Muffin",1,1,732
"271",11,"incon","noncanon",2,"002_Baum_Palme",0,1,461
"272",11,"incon","noncanon",56,"056_Seife_Fluessigseife",1,0,868
"273",11,"con","canon",38,"038_Toaster_2ScheibenToaster",1,1,1132
"274",11,"incon","noncanon",91,"091_Flugzeug_Segelflieger",0,1,722
"275",11,"con","canon",66,"066_Stuhl_Barstuhl",1,1,667
"276",11,"con","noncanon",8,"008_Bildschirm_Desktop",0,1,755
"277",11,"incon","canon",50,"050_Nuss_Wallnuss",1,1,553
"278",11,"con","noncanon",54,"054_Schrank_Bueroschrank",0,1,1463
"279",11,"con","canon",79,"079_Tisch_Schreibtisch",0,1,720
"280",11,"incon","canon",76,"076_Tisch_Holztisch",0,1,484
"281",11,"con","noncanon",31,"031_Muelltonne",0,1,1424
"282",11,"incon","canon",19,"019_Drucker_Heimdrucker",0,1,1021
"283",11,"con","canon",43,"043_Lampe_Strassenlaterne",0,1,595
"284",11,"con","noncanon",41,"041_Lampe_Schreibtischlampe",1,1,1498
"285",11,"incon","noncanon",83,"083_Ventilator_Standventilator",0,1,907
"286",11,"con","canon",120,"120_Knoblauch",1,1,633
"287",11,"con","noncanon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,1,675
"288",11,"incon","canon",105,"105_Geschenk",0,1,846
"289",11,"con","noncanon",61,"061_Sitzbank_Baumbank",0,1,844
"290",11,"incon","noncanon",101,"101_Becken_Waschbecken",0,1,1261
"291",11,"incon","noncanon",7,"007_Bett_Krankenhausbett",0,1,2147
"292",11,"con","canon",28,"028_Wasserkocher_retroWasserkocher",1,1,880
"293",11,"incon","noncanon",18,"018_Computer_Tablet",1,1,2036
"294",11,"incon","noncanon",14,"014_Blume_Sonnenblume",1,1,890
"295",11,"con","noncanon",9,"009_Bildschirm_Flachbildfernseher",0,0,902
"296",11,"incon","canon",115,"115_Kaefig_Vogelkaefig",0,1,1085
"297",11,"con","noncanon",119,"119_Paprika",1,1,861
"298",11,"incon","canon",116,"116_Kamin",0,1,1156
"299",11,"incon","canon",62,"062_Sofa_Dreiersofa",0,1,716
"300",11,"con","noncanon",64,"064_Sofa_Ledersofa",0,1,1258
"301",11,"con","noncanon",84,"084_Ventilator_Tischventilator",1,1,884
"302",11,"incon","canon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,1090
"303",11,"incon","canon",108,"108_MP3player",1,1,1066
"304",11,"con","canon",65,"065_Sofa_Zweiersofa",0,1,744
"305",11,"con","canon",5,"005_Bett_Doppelbett",0,1,656
"306",11,"con","noncanon",110,"110_Tretauto",1,1,665
"307",11,"con","canon",24,"024_Glas_Trinkglas",1,1,564
"308",11,"con","canon",27,"027_Kamera_Spiegelreflexkamera",1,1,487
"309",11,"incon","noncanon",57,"057_Seife_Kernseife",1,1,650
"310",11,"con","noncanon",34,"034_Korb_Waeschekorb",1,1,730
"311",11,"incon","canon",22,"022_Gitarre_Elektrogitarre",1,1,718
"312",11,"incon","noncanon",15,"015_Blume_Tulpen",1,1,598
"313",11,"con","canon",102,"102_Bett_Kinderbett",1,1,655
"314",11,"incon","canon",29,"029_Klavier_Fluegel",0,1,563
"315",11,"con","canon",16,"016_Computer_Laptop",1,1,1183
"316",11,"con","canon",97,"097_Besteck_Gabel",1,1,874
"317",11,"incon","canon",78,"078_Tisch_Sofatisch",0,1,563
"318",11,"con","noncanon",10,"010_Blume_Gaenseblume",1,1,503
"319",11,"incon","noncanon",35,"035_Kaffeemaschine_Espressomaschine",0,1,1148
"320",11,"incon","canon",51,"051_Regal_Holzregal",0,1,801
"321",11,"con","noncanon",114,"114_Brokkoli",1,1,1067
"322",11,"incon","canon",49,"049_Nuss_Pistazie",1,1,797
"323",11,"con","canon",73,"073_Telefon_Schnurtelefon",1,1,1139
"324",11,"incon","canon",106,"106_Hydrant",1,1,815
"325",11,"incon","canon",77,"077_Tisch_Rundtisch",0,1,639
"326",11,"con","noncanon",70,"070_Stuhl_Schalenstuhl",1,1,908
"327",11,"con","canon",111,"111_Wagen_Einkaufswagen",1,1,827
"328",11,"con","noncanon",112,"112_Wanne_Badewanne",0,1,800
"329",11,"con","noncanon",82,"082_Schaukelpferd",1,0,1510
"330",11,"incon","canon",13,"013_Blume_Rosen",1,1,602
"331",11,"incon","canon",89,"089_Eimer_Muelleimer",1,1,1016
"332",11,"con","canon",80,"080_Uhr_Armbanduhr",1,1,699
"333",11,"con","canon",93,"093_Boot_Kanu",1,1,1060
"334",11,"con","noncanon",4,"004_Baum_Weide",0,1,1812
"335",11,"con","canon",37,"037_Mixer_Standmixer",1,1,603
"336",11,"incon","canon",90,"090_Flugzeug_Zweiteweltkriegsflieger",0,1,1122
"337",11,"incon","noncanon",1,"001_Baum_Bonsai",0,1,1273
"338",11,"con","noncanon",59,"059_Sitzbank_Holzbank_ohne_Lehne",0,1,569
"339",11,"incon","noncanon",42,"042_Lampe_Stehlampe",0,1,731
"340",11,"con","canon",46,"046_Besteck_Messer",1,1,486
"341",11,"incon","noncanon",113,"113_Brezel",1,1,468
"342",11,"incon","noncanon",86,"086_Auto_Polizeiauto",0,1,582
"343",11,"incon","noncanon",3,"003_Baum_Tanne",0,1,471
"344",11,"incon","canon",98,"098_Auto_Van",0,1,516
"345",11,"con","canon",25,"025_Glas_Weinglas",1,1,646
"346",11,"incon","canon",71,"071_Stuhl_Schreibtischstuhl",1,1,466
"347",11,"con","canon",40,"040_Lampe_Deckenlampe",0,1,553
"348",11,"incon","noncanon",12,"012_Blume_Orchidee",1,1,578
"349",11,"incon","canon",95,"095_Boot_Kreuzfahrtschiff",0,1,577
"350",11,"incon","noncanon",94,"094_Boot_Segelschiff",0,1,810
"351",11,"incon","canon",118,"118_Pilz_Champignon",1,1,597
"352",11,"incon","noncanon",96,"096_Auto_Oldtimer",0,1,486
"353",11,"con","noncanon",20,"020_Drucker_Multifunktionsdrucker",0,1,913
"354",11,"incon","noncanon",45,"045_Lampe_Wandlampe",0,1,633
"355",11,"con","noncanon",92,"092_Boot_Ruderboot",1,1,565
"356",11,"incon","canon",11,"011_Blume_Kaktus",0,1,556
"357",11,"con","noncanon",81,"081_Uhr_Digitaluhr",1,0,1121
"358",11,"con","noncanon",85,"085_Auto_Pickuptruck",0,1,914
"359",11,"incon","noncanon",88,"088_Flugzeug_Kampfflieger",0,1,1364
"360",11,"incon","noncanon",58,"058_Sitzbank_Holzbank_mit_Lehne",0,1,885
"361",12,"incon","canon",109,"109_Router",1,1,461
"362",12,"incon","noncanon",80,"080_Uhr_Armbanduhr",1,0,616
"363",12,"incon","canon",2,"002_Baum_Palme",0,1,378
"364",12,"con","noncanon",68,"068_Stuhl_Holzstuhl",1,1,499
"365",12,"incon","noncanon",87,"087_Auto_Panzer",0,0,477
"366",12,"incon","canon",63,"063_Sofa_Ecksofa",0,1,450
"367",12,"con","canon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,1,309
"368",12,"con","noncanon",78,"078_Tisch_Sofatisch",0,1,446
"369",12,"incon","canon",23,"023_Glas_Sektglas",1,1,280
"370",12,"con","canon",119,"119_Paprika",1,1,311
"371",12,"incon","noncanon",43,"043_Lampe_Strassenlaterne",0,1,415
"372",12,"incon","canon",83,"083_Ventilator_Standventilator",0,1,337
"373",12,"con","noncanon",108,"108_MP3player",1,0,524
"374",12,"con","canon",60,"060_Sitzbank_Schaukelbank",0,1,289
"375",12,"incon","canon",57,"057_Seife_Kernseife",1,0,493
"376",12,"con","canon",84,"084_Ventilator_Tischventilator",1,1,302
"377",12,"con","noncanon",99,"099_Eimer_Wassereimer",1,1,353
"378",12,"con","noncanon",29,"029_Klavier_Fluegel",0,1,404
"379",12,"incon","noncanon",53,"053_Regal_Wandregal",0,1,418
"380",12,"con","noncanon",76,"076_Tisch_Holztisch",0,1,507
"381",12,"incon","noncanon",93,"093_Boot_Kanu",1,0,370
"382",12,"incon","canon",94,"094_Boot_Segelschiff",0,1,499
"383",12,"con","noncanon",11,"011_Blume_Kaktus",0,1,774
"384",12,"con","noncanon",48,"048_Nuss_Mandel",1,1,397
"385",12,"incon","noncanon",107,"107_Kranz_Adventskranz",1,1,373
"386",12,"incon","noncanon",79,"079_Tisch_Schreibtisch",0,1,360
"387",12,"incon","noncanon",73,"073_Telefon_Schnurtelefon",1,0,549
"388",12,"con","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,402
"389",12,"con","noncanon",106,"106_Hydrant",1,1,506
"390",12,"con","canon",10,"010_Blume_Gaenseblume",1,1,350
"391",12,"incon","noncanon",37,"037_Mixer_Standmixer",1,1,534
