"","sub","consistency","rotation","imgID","imagename","correct","response_time"
"3587",8,"incon","canon",4,"004_Baum_Weide",0,667
"3588",8,"con","canon",85,"085_Auto_Pickuptruck",1,775
"3589",8,"con","canon",37,"037_Mixer_Standmixer",1,500
"3590",8,"incon","canon",1,"001_Baum_Bonsai",1,472
"3591",8,"incon","noncanon",38,"038_Toaster_2ScheibenToaster",0,815
"3592",8,"incon","noncanon",23,"023_Glas_Sektglas",0,1098
"3593",8,"incon","noncanon",104,"104_Fahrradstaender",1,1402
"3594",8,"incon","noncanon",84,"084_Ventilator_Tischventilator",1,622
"3595",8,"con","noncanon",43,"043_Lampe_Strassenlaterne",1,570
"3596",8,"con","noncanon",34,"034_Korb_Waeschekorb",0,549
"3597",8,"incon","canon",45,"045_Lampe_Wandlampe",1,511
"3598",8,"con","canon",9,"009_Bildschirm_Flachbildfernseher",1,507
"3599",8,"con","canon",15,"015_Blume_Tulpen",1,398
"3600",8,"con","canon",14,"014_Blume_Sonnenblume",1,491
"3601",8,"con","canon",64,"064_Sofa_Ledersofa",1,433
"3602",8,"incon","canon",47,"047_Nuss_Erdnuss",1,489
"3603",8,"con","noncanon",74,"074_Telefon_Smartphone",0,724
"3604",8,"con","canon",83,"083_Ventilator_Standventilator",1,373
"3605",8,"incon","noncanon",96,"096_Auto_Oldtimer",1,608
"3606",8,"con","noncanon",42,"042_Lampe_Stehlampe",1,395
"3607",8,"con","noncanon",97,"097_Besteck_Gabel",1,602
"3608",8,"incon","canon",75,"075_Tisch_Etagentisch",1,401
"3609",8,"con","canon",109,"109_Router",1,984
"3610",8,"incon","noncanon",112,"112_Wanne_Badewanne",1,489
"3611",8,"con","canon",78,"078_Tisch_Sofatisch",1,660
"3612",8,"incon","canon",20,"020_Drucker_Multifunktionsdrucker",1,462
"3613",8,"incon","canon",111,"111_Wagen_Einkaufswagen",1,418
"3614",8,"con","noncanon",106,"106_Hydrant",1,426
"3615",8,"con","canon",73,"073_Telefon_Schnurtelefon",1,430
"3616",8,"con","canon",92,"092_Boot_Ruderboot",1,562
"3617",8,"incon","canon",25,"025_Glas_Weinglas",1,427
"3618",8,"con","noncanon",102,"102_Bett_Kinderbett",1,351
"3619",8,"incon","noncanon",65,"065_Sofa_Zweiersofa",0,994
