"","sub","consistency","rotation","imgID","imagename","correct","response_time","log_RT"
"1436",20,"con","noncanon",71,"071_Stuhl_Schreibtischstuhl",1,512,6.23832462503951
"1437",20,"con","canon",78,"078_Tisch_Sofatisch",1,541,6.29341927884648
"1438",20,"con","canon",40,"040_Lampe_Deckenlampe",1,515,6.24416690066374
"1439",20,"incon","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,511,6.2363695902037
"1440",20,"incon","canon",25,"025_Glas_Weinglas",1,487,6.18826412308259
"1441",20,"con","noncanon",109,"109_Router",1,335,5.81413053182507
"1442",20,"incon","canon",53,"053_Regal_Wandregal",1,515,6.24416690066374
"1443",20,"con","noncanon",103,"103_Zahnbuerste",1,377,5.93224518744801
"1445",20,"incon","canon",79,"079_Tisch_Schreibtisch",1,503,6.22059017009974
"1446",20,"con","noncanon",84,"084_Ventilator_Tischventilator",1,439,6.08449941307517
"1448",20,"incon","canon",20,"020_Drucker_Multifunktionsdrucker",1,786,6.66695679242921
"1449",20,"incon","noncanon",14,"014_Blume_Sonnenblume",1,587,6.3750248198281
"1450",20,"con","canon",64,"064_Sofa_Ledersofa",1,433,6.07073772800249
"1451",20,"con","noncanon",39,"039_Wasserkocher_moderner_Wasserkocher",1,311,5.73979291217923
"1452",20,"incon","canon",90,"090_Flugzeug_Zweiteweltkriegsflieger",1,358,5.8805329864007
"1453",20,"con","canon",73,"073_Telefon_Schnurtelefon",1,325,5.78382518232974
"1454",20,"con","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",1,328,5.79301360838414
"1455",20,"incon","canon",69,"069_Stuhl_Rollstuhl",1,372,5.91889385427315
"1456",20,"incon","noncanon",92,"092_Boot_Ruderboot",1,761,6.63463335786169
"1458",20,"con","noncanon",70,"070_Stuhl_Schalenstuhl",1,476,6.16541785423142
"1459",20,"con","canon",23,"023_Glas_Sektglas",1,327,5.78996017089725
"1460",20,"incon","canon",3,"003_Baum_Tanne",1,364,5.89715386763674
"1462",20,"con","canon",45,"045_Lampe_Wandlampe",1,386,5.95583736946483
"1463",20,"incon","noncanon",105,"105_Geschenk",1,438,6.08221891037645
"1464",20,"incon","canon",18,"018_Computer_Tablet",1,343,5.83773044716594
"1465",20,"con","noncanon",62,"062_Sofa_Dreiersofa",1,364,5.89715386763674
"1466",20,"incon","canon",16,"016_Computer_Laptop",1,398,5.98645200528444
"1467",20,"con","noncanon",98,"098_Auto_Van",1,429,6.06145691892802
"1468",20,"con","noncanon",82,"082_Schaukelpferd",1,764,6.63856778916652
"1469",20,"con","noncanon",65,"065_Sofa_Zweiersofa",1,359,5.88332238848828
"1470",20,"incon","canon",55,"055_Schrank_Kleiderschrank",1,534,6.2803958389602
"1471",20,"con","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,343,5.83773044716594
"1472",20,"con","canon",94,"094_Boot_Segelschiff",1,379,5.93753620508243
"1473",20,"incon","canon",76,"076_Tisch_Holztisch",1,357,5.87773578177964
"1475",20,"incon","noncanon",118,"118_Pilz_Champignon",1,418,6.03548143252476
"1476",20,"incon","noncanon",87,"087_Auto_Panzer",1,298,5.6970934865054
"1478",20,"incon","canon",95,"095_Boot_Kreuzfahrtschiff",1,371,5.91620206260743
"1480",20,"con","noncanon",112,"112_Wanne_Badewanne",1,1202,7.09174211509515
"1481",20,"con","noncanon",85,"085_Auto_Pickuptruck",1,373,5.92157841964382
"1482",20,"incon","noncanon",21,"021_Gitarre_Akustikgitarre",1,716,6.57368016696065
"1483",20,"incon","noncanon",60,"060_Sitzbank_Schaukelbank",1,375,5.92692602597041
"1484",20,"incon","canon",72,"072_Sessel_Ledersessel",1,359,5.88332238848828
"1485",20,"con","canon",106,"106_Hydrant",1,359,5.88332238848828
"1486",20,"incon","canon",34,"034_Korb_Waeschekorb",1,819,6.70808408385307
"1487",20,"con","canon",1,"001_Baum_Bonsai",1,249,5.51745289646471
"1488",20,"con","canon",113,"113_Brezel",1,306,5.72358510195238
"1489",20,"incon","canon",11,"011_Blume_Kaktus",1,462,6.13556489108174
"1490",20,"incon","canon",2,"002_Baum_Palme",1,346,5.84643877505772
"1491",20,"con","canon",107,"107_Kranz_Adventskranz",1,903,6.80572255341699
"1492",20,"con","canon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,373,5.92157841964382
"1495",20,"incon","canon",5,"005_Bett_Doppelbett",1,504,6.22257626807137
"1496",20,"con","noncanon",61,"061_Sitzbank_Baumbank",1,744,6.61204103483309
"1497",20,"con","noncanon",31,"031_Muelltonne",1,363,5.89440283426485
"1498",20,"con","canon",7,"007_Bett_Krankenhausbett",1,680,6.52209279817015
"1499",20,"incon","canon",44,"044_Lampe_Tischleuchte",1,352,5.8636311755981
"1502",20,"incon","noncanon",52,"052_Regal_Metallregal",1,429,6.06145691892802
