"","sub","consistency","rotation","imgID","imagename","movable","correct","response_time","log_RT"
"2291",27,"incon","noncanon",109,"109_Router",1,1,796,6.67959918584438
"2294",27,"con","canon",66,"066_Stuhl_Barstuhl",1,1,1081,6.98564181763921
"2295",27,"con","canon",4,"004_Baum_Weide",0,1,405,6.00388706710654
"2296",27,"con","noncanon",3,"003_Baum_Tanne",0,1,558,6.32435896238131
"2297",27,"con","noncanon",60,"060_Sitzbank_Schaukelbank",0,1,503,6.22059017009974
"2298",27,"incon","noncanon",51,"051_Regal_Holzregal",0,1,557,6.32256523992728
"2299",27,"con","canon",93,"093_Boot_Kanu",1,1,598,6.39359075395063
"2300",27,"incon","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,1,386,5.95583736946483
"2301",27,"con","canon",17,"017_Computer_PC",0,1,670,6.50727771238501
"2302",27,"con","noncanon",67,"067_Stuhl_Buerostuhl",1,1,417,6.0330862217988
"2303",27,"incon","noncanon",59,"059_Sitzbank_Holzbank_ohne_Lehne",0,1,510,6.23441072571837
"2304",27,"con","canon",21,"021_Gitarre_Akustikgitarre",1,1,328,5.79301360838414
"2305",27,"con","canon",46,"046_Besteck_Messer",1,1,464,6.13988455222626
"2306",27,"con","canon",61,"061_Sitzbank_Baumbank",0,1,505,6.22455842927536
"2307",27,"con","canon",1,"001_Baum_Bonsai",0,1,409,6.0137151560428
"2308",27,"incon","noncanon",45,"045_Lampe_Wandlampe",0,1,652,6.48004456192665
"2309",27,"con","noncanon",117,"117_Muffin",1,1,725,6.58617165485467
"2310",27,"con","noncanon",85,"085_Auto_Pickuptruck",0,1,445,6.09807428216624
"2311",27,"incon","canon",64,"064_Sofa_Ledersofa",0,1,473,6.15909538849193
"2312",27,"incon","canon",15,"015_Blume_Tulpen",1,1,335,5.81413053182507
"2313",27,"incon","canon",43,"043_Lampe_Strassenlaterne",0,1,446,6.10031895202006
"2314",27,"con","canon",13,"013_Blume_Rosen",1,1,383,5.94803498918065
"2315",27,"con","canon",42,"042_Lampe_Stehlampe",0,1,390,5.96614673912369
"2316",27,"incon","canon",94,"094_Boot_Segelschiff",0,1,955,6.86171134048073
"2317",27,"con","canon",116,"116_Kamin",0,1,439,6.08449941307517
"2318",27,"con","canon",26,"026_Kamera_Digitalkamera",1,1,438,6.08221891037645
"2319",27,"con","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",0,1,650,6.47697236288968
"2320",27,"incon","noncanon",71,"071_Stuhl_Schreibtischstuhl",1,1,396,5.98141421125448
"2321",27,"incon","canon",88,"088_Flugzeug_Kampfflieger",0,1,630,6.44571981938558
"2322",27,"con","noncanon",91,"091_Flugzeug_Segelflieger",0,1,465,6.14203740558736
"2323",27,"con","canon",92,"092_Boot_Ruderboot",1,1,497,6.20859002609663
"2324",27,"con","noncanon",8,"008_Bildschirm_Desktop",0,1,669,6.50578406012823
"2325",27,"incon","canon",36,"036_Roller",1,1,372,5.91889385427315
"2326",27,"incon","noncanon",50,"050_Nuss_Wallnuss",1,1,385,5.95324333428778
"2327",27,"con","noncanon",112,"112_Wanne_Badewanne",0,1,404,6.00141487796115
"2328",27,"incon","canon",10,"010_Blume_Gaenseblume",1,1,405,6.00388706710654
"2329",27,"incon","canon",79,"079_Tisch_Schreibtisch",0,1,426,6.05443934626937
"2331",27,"incon","canon",40,"040_Lampe_Deckenlampe",0,1,427,6.05678401322862
"2332",27,"incon","noncanon",65,"065_Sofa_Zweiersofa",0,1,887,6.78784498230958
"2333",27,"incon","noncanon",6,"006_Bett_Einzelbett",0,1,719,6.57786135772105
"2334",27,"incon","noncanon",83,"083_Ventilator_Standventilator",0,1,786,6.66695679242921
"2335",27,"incon","canon",49,"049_Nuss_Pistazie",1,1,320,5.76832099579377
"2336",27,"con","canon",76,"076_Tisch_Holztisch",0,1,361,5.88887795833288
"2337",27,"incon","canon",55,"055_Schrank_Kleiderschrank",0,1,477,6.16751649088834
"2338",27,"incon","noncanon",96,"096_Auto_Oldtimer",0,1,379,5.93753620508243
"2339",27,"incon","noncanon",18,"018_Computer_Tablet",1,1,870,6.76849321164863
"2340",27,"con","canon",90,"090_Flugzeug_Zweiteweltkriegsflieger",0,1,362,5.89164421182577
"2341",27,"incon","canon",107,"107_Kranz_Adventskranz",1,1,397,5.98393628068719
"2342",27,"con","noncanon",119,"119_Paprika",1,1,344,5.8406416573734
"2343",27,"incon","canon",115,"115_Kaefig_Vogelkaefig",0,1,789,6.67076632084587
"2344",27,"incon","canon",97,"097_Besteck_Gabel",1,1,439,6.08449941307517
"2345",27,"incon","noncanon",34,"034_Korb_Waeschekorb",1,1,417,6.0330862217988
"2346",27,"con","canon",68,"068_Stuhl_Holzstuhl",1,1,369,5.91079664404053
"2347",27,"incon","canon",78,"078_Tisch_Sofatisch",0,1,681,6.52356230614951
"2349",27,"incon","canon",72,"072_Sessel_Ledersessel",0,1,463,6.13772705408623
"2350",27,"incon","canon",53,"053_Regal_Wandregal",0,1,530,6.27287700654617
"2351",27,"con","canon",54,"054_Schrank_Bueroschrank",0,1,465,6.14203740558736
"2352",27,"incon","canon",2,"002_Baum_Palme",0,1,493,6.20050917404269
"2353",27,"incon","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,554,6.31716468674728
"2354",27,"con","noncanon",22,"022_Gitarre_Elektrogitarre",1,1,588,6.37672694789863
"2355",27,"con","noncanon",30,"030_Wippe",0,1,469,6.15060276844628
"2356",27,"incon","canon",118,"118_Pilz_Champignon",1,1,465,6.14203740558736
"2357",27,"incon","noncanon",9,"009_Bildschirm_Flachbildfernseher",0,1,872,6.77078942390898
"2358",27,"con","canon",73,"073_Telefon_Schnurtelefon",1,1,421,6.04263283368238
"2359",27,"incon","noncanon",28,"028_Wasserkocher_retroWasserkocher",1,1,432,6.06842558824411
"2360",27,"incon","noncanon",100,"100_Besteck_Loeffel",1,1,380,5.94017125272043
"2361",27,"con","canon",86,"086_Auto_Polizeiauto",0,1,449,6.10702288774225
"2362",27,"incon","canon",44,"044_Lampe_Tischleuchte",1,1,323,5.77765232322266
"2363",27,"incon","noncanon",95,"095_Boot_Kreuzfahrtschiff",0,1,531,6.27476202124194
"2364",27,"incon","canon",105,"105_Geschenk",0,1,496,6.20657592672493
"2365",27,"con","canon",38,"038_Toaster_2ScheibenToaster",1,1,376,5.92958914338989
"2366",27,"con","noncanon",25,"025_Glas_Weinglas",1,1,389,5.96357934361845
"2367",27,"incon","canon",111,"111_Wagen_Einkaufswagen",1,1,374,5.92425579741453
"2368",27,"con","canon",16,"016_Computer_Laptop",1,1,376,5.92958914338989
"2369",27,"con","canon",31,"031_Muelltonne",0,1,316,5.75574221358691
"2370",27,"incon","canon",12,"012_Blume_Orchidee",1,1,359,5.88332238848828
"2371",27,"con","canon",14,"014_Blume_Sonnenblume",1,1,365,5.89989735358249
"2372",27,"con","noncanon",41,"041_Lampe_Schreibtischlampe",1,1,757,6.62936325343745
"2373",27,"con","noncanon",24,"024_Glas_Trinkglas",1,1,856,6.75227037614174
"2374",27,"con","noncanon",87,"087_Auto_Panzer",0,1,393,5.97380961186926
"2375",27,"con","noncanon",29,"029_Klavier_Fluegel",0,1,505,6.22455842927536
"2376",27,"incon","noncanon",84,"084_Ventilator_Tischventilator",1,1,344,5.8406416573734
"2377",27,"con","noncanon",81,"081_Uhr_Digitaluhr",1,1,936,6.84161547647759
"2378",27,"con","noncanon",48,"048_Nuss_Mandel",1,1,440,6.08677472691231
"2379",27,"incon","noncanon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,1,468,6.14846829591765
"2380",27,"con","noncanon",89,"089_Eimer_Muelleimer",1,1,1254,7.13409372119287
"2381",27,"incon","noncanon",77,"077_Tisch_Rundtisch",0,1,500,6.21460809842219
"2382",27,"con","noncanon",80,"080_Uhr_Armbanduhr",1,1,786,6.66695679242921
"2383",27,"incon","noncanon",102,"102_Bett_Kinderbett",1,1,424,6.04973345523196
"2384",27,"incon","canon",11,"011_Blume_Kaktus",0,1,577,6.3578422665081
"2385",27,"con","noncanon",103,"103_Zahnbuerste",0,1,571,6.34738920965601
"2386",27,"incon","noncanon",106,"106_Hydrant",1,1,541,6.29341927884648
"2387",27,"con","canon",75,"075_Tisch_Etagentisch",0,1,375,5.92692602597041
"2388",27,"incon","canon",52,"052_Regal_Metallregal",0,1,348,5.85220247977447
"2389",27,"con","noncanon",5,"005_Bett_Doppelbett",0,1,337,5.82008293035236
"2390",27,"incon","canon",99,"099_Eimer_Wassereimer",1,1,332,5.80513496891649
"2391",27,"con","noncanon",114,"114_Brokkoli",1,1,545,6.30078579466324
"2392",27,"con","noncanon",20,"020_Drucker_Multifunktionsdrucker",0,1,451,6.11146733950268
"2393",27,"incon","noncanon",120,"120_Knoblauch",1,1,461,6.13339804299665
"2394",27,"incon","canon",37,"037_Mixer_Standmixer",1,1,531,6.27476202124194
"2395",27,"incon","canon",101,"101_Becken_Waschbecken",0,1,401,5.99396142730657
"2396",27,"con","canon",62,"062_Sofa_Dreiersofa",0,1,534,6.2803958389602
"2397",27,"incon","canon",63,"063_Sofa_Ecksofa",0,1,493,6.20050917404269
"2399",27,"incon","noncanon",23,"023_Glas_Sektglas",1,1,416,6.03068526026126
"2400",27,"incon","noncanon",98,"098_Auto_Van",0,1,354,5.86929691313377
"2404",28,"con","noncanon",111,"111_Wagen_Einkaufswagen",1,1,640,6.46146817635372
"2406",28,"con","noncanon",40,"040_Lampe_Deckenlampe",0,1,429,6.06145691892802
"2407",28,"con","noncanon",105,"105_Geschenk",0,1,612,6.41673228251233
"2408",28,"incon","canon",45,"045_Lampe_Wandlampe",0,1,444,6.09582456243222
"2409",28,"incon","noncanon",13,"013_Blume_Rosen",1,1,704,6.55677835615804
"2410",28,"con","canon",87,"087_Auto_Panzer",0,1,581,6.36475075685191
"2411",28,"incon","canon",96,"096_Auto_Oldtimer",0,1,375,5.92692602597041
"2412",28,"incon","canon",120,"120_Knoblauch",1,1,572,6.3491389913798
"2413",28,"incon","noncanon",21,"021_Gitarre_Akustikgitarre",1,1,851,6.74641212857337
"2414",28,"incon","canon",50,"050_Nuss_Wallnuss",1,1,854,6.74993119378857
"2415",28,"incon","canon",110,"110_Tretauto",1,1,487,6.18826412308259
"2416",28,"incon","canon",109,"109_Router",1,1,511,6.2363695902037
"2418",28,"con","noncanon",37,"037_Mixer_Standmixer",1,1,841,6.73459165997295
"2419",28,"con","canon",20,"020_Drucker_Multifunktionsdrucker",0,1,655,6.48463523563525
"2420",28,"con","canon",112,"112_Wanne_Badewanne",0,1,510,6.23441072571837
"2422",28,"incon","noncanon",76,"076_Tisch_Holztisch",0,1,702,6.55393340402581
"2423",28,"incon","noncanon",1,"001_Baum_Bonsai",0,1,861,6.75809450442773
"2425",28,"con","noncanon",64,"064_Sofa_Ledersofa",0,1,716,6.57368016696065
"2426",28,"incon","noncanon",86,"086_Auto_Polizeiauto",0,1,475,6.16331480403464
"2427",28,"con","canon",22,"022_Gitarre_Elektrogitarre",1,1,473,6.15909538849193
"2428",28,"con","canon",85,"085_Auto_Pickuptruck",0,1,392,5.97126183979046
"2429",28,"con","canon",3,"003_Baum_Tanne",0,1,493,6.20050917404269
"2430",28,"con","noncanon",79,"079_Tisch_Schreibtisch",0,1,749,6.61873898351722
"2431",28,"incon","canon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,498,6.21060007702465
"2432",28,"con","noncanon",115,"115_Kaefig_Vogelkaefig",0,1,500,6.21460809842219
"2433",28,"incon","noncanon",68,"068_Stuhl_Holzstuhl",1,1,476,6.16541785423142
"2434",28,"incon","canon",6,"006_Bett_Einzelbett",0,1,417,6.0330862217988
"2435",28,"incon","noncanon",54,"054_Schrank_Bueroschrank",0,1,554,6.31716468674728
"2436",28,"incon","noncanon",17,"017_Computer_PC",0,1,654,6.4831073514572
"2437",28,"incon","noncanon",47,"047_Nuss_Erdnuss",1,1,634,6.45204895443723
"2438",28,"incon","noncanon",90,"090_Flugzeug_Zweiteweltkriegsflieger",0,1,387,5.95842469302978
"2439",28,"con","canon",104,"104_Fahrradstaender",1,1,608,6.41017488196617
"2440",28,"incon","canon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,1,380,5.94017125272043
"2441",28,"incon","canon",7,"007_Bett_Krankenhausbett",0,1,1062,6.96790920180188
"2442",28,"con","noncanon",78,"078_Tisch_Sofatisch",0,1,597,6.3919171133926
"2443",28,"incon","canon",23,"023_Glas_Sektglas",1,1,447,6.10255859461357
"2444",28,"incon","canon",71,"071_Stuhl_Schreibtischstuhl",1,1,389,5.96357934361845
"2445",28,"incon","canon",69,"069_Stuhl_Rollstuhl",1,1,322,5.77455154554441
"2446",28,"incon","noncanon",19,"019_Drucker_Heimdrucker",0,1,444,6.09582456243222
"2447",28,"incon","noncanon",4,"004_Baum_Weide",0,1,407,6.00881318544259
"2448",28,"incon","canon",98,"098_Auto_Van",0,1,433,6.07073772800249
"2449",28,"incon","canon",51,"051_Regal_Holzregal",0,1,428,6.0591231955818
"2450",28,"incon","canon",106,"106_Hydrant",1,1,421,6.04263283368238
"2451",28,"incon","canon",95,"095_Boot_Kreuzfahrtschiff",0,1,500,6.21460809842219
"2452",28,"con","noncanon",15,"015_Blume_Tulpen",1,1,524,6.26149168432104
"2453",28,"con","noncanon",101,"101_Becken_Waschbecken",0,1,569,6.34388043412633
"2454",28,"incon","canon",18,"018_Computer_Tablet",1,1,1057,6.96318998587024
"2455",28,"incon","canon",59,"059_Sitzbank_Holzbank_ohne_Lehne",0,1,449,6.10702288774225
"2456",28,"con","canon",30,"030_Wippe",0,1,568,6.34212141872115
"2457",28,"incon","noncanon",62,"062_Sofa_Dreiersofa",0,1,587,6.3750248198281
"2458",28,"con","canon",5,"005_Bett_Doppelbett",0,1,423,6.04737217904628
"2459",28,"con","noncanon",11,"011_Blume_Kaktus",0,1,503,6.22059017009974
"2460",28,"con","canon",24,"024_Glas_Trinkglas",1,1,486,6.18620862390049
"2462",28,"con","canon",25,"025_Glas_Weinglas",1,1,334,5.8111409929767
"2463",28,"incon","canon",34,"034_Korb_Waeschekorb",1,1,477,6.16751649088834
"2464",28,"incon","canon",27,"027_Kamera_Spiegelreflexkamera",1,1,912,6.81563999007433
"2465",28,"con","noncanon",107,"107_Kranz_Adventskranz",1,1,438,6.08221891037645
"2466",28,"con","noncanon",10,"010_Blume_Gaenseblume",1,1,463,6.13772705408623
"2467",28,"con","canon",91,"091_Flugzeug_Segelflieger",0,1,346,5.84643877505772
"2468",28,"con","noncanon",118,"118_Pilz_Champignon",1,1,507,6.22851100359118
"2469",28,"incon","canon",9,"009_Bildschirm_Flachbildfernseher",0,1,490,6.19440539110467
"2470",28,"incon","noncanon",46,"046_Besteck_Messer",1,1,415,6.0282785202307
