"","sub","rotation","imagename","match","imgID","movable","block","correct","response_time","inverse_RT","log_RT"
"4614",20,300,"034_Korb_Waeschekorb","mismatch",34,1,5,1,542,0.0018450184501845,6.29526600143965
"4615",20,180,"002_Baum_Palme","mismatch",2,0,5,1,527,0.00189753320683112,6.26720054854136
"4616",20,0,"082_Uhr_Wanduhr","mismatch",82,0,5,1,432,0.00231481481481481,6.06842558824411
"4617",20,180,"003_Baum_Tanne","mismatch",3,0,5,1,395,0.00253164556962025,5.97888576490112
"4618",20,180,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,0,5,1,411,0.0024330900243309,6.01859321449623
"4619",20,60,"024_Glas_Trinkglas","match",24,1,5,1,388,0.00257731958762887,5.96100533962327
"4620",20,180,"098_Auto_Van","mismatch",98,0,5,1,711,0.00140646976090014,6.56667242980324
"4621",20,240,"010_Blume_Gaenseblume","mismatch",10,1,5,1,461,0.00216919739696312,6.13339804299665
"4622",20,300,"051_Regal_Holzregal","match",51,0,5,1,514,0.00194552529182879,6.24222326545517
"4623",20,300,"072_Sessel_Ledersessel","mismatch",72,0,5,1,544,0.00183823529411765,6.29894924685594
"4624",20,120,"062_Sofa_Dreiersofa","match",62,0,5,1,565,0.00176991150442478,6.33682573114644
"4625",20,0,"028_Wasserkocher_retroWasserkocher","match",28,1,5,1,485,0.00206185567010309,6.18414889093748
"4626",20,60,"014_Blume_Sonnenblume","match",14,1,5,1,406,0.00246305418719212,6.00635315960173
"4627",20,120,"081_Uhr_Digitaluhr","mismatch",81,1,5,1,462,0.00216450216450216,6.13556489108174
"4628",20,180,"094_Boot_Segelschiff","mismatch",94,0,5,1,560,0.00178571428571429,6.32793678372919
"4629",20,0,"070_Stuhl_Schalenstuhl","mismatch",70,1,5,1,424,0.00235849056603774,6.04973345523196
"4630",20,120,"079_Tisch_Schreibtisch","mismatch",79,0,5,1,913,0.00109529025191676,6.81673588059497
"4631",20,300,"091_Flugzeug_Segelflieger","mismatch",91,0,5,1,472,0.00211864406779661,6.15697898558556
"4632",20,0,"075_Tisch_Etagentisch","mismatch",75,0,5,1,446,0.00224215246636771,6.10031895202006
"4633",20,180,"065_Sofa_Zweiersofa","match",65,0,5,1,489,0.00204498977505112,6.19236248947487
"4634",20,0,"027_Kamera_Spiegelreflexkamera","match",27,1,5,1,454,0.00220264317180617,6.11809719804135
"4635",20,0,"025_Glas_Weinglas","match",25,1,5,1,453,0.0022075055187638,6.11589212548303
"4636",20,180,"061_Sitzbank_Baumbank","match",61,0,5,1,543,0.00184162062615101,6.29710931993394
"4637",20,300,"029_Klavier_Fluegel","match",29,0,5,1,553,0.00180831826401447,6.31535800152233
"4638",20,180,"018_Computer_Tablet","match",18,1,5,1,685,0.00145985401459854,6.52941883826223
"4639",20,300,"011_Blume_Kaktus","match",11,0,5,1,1522,0.000657030223390276,7.32778053842163
"4640",20,60,"042_Lampe_Stehlampe","mismatch",42,0,5,1,696,0.0014367816091954,6.54534966033442
"4641",20,300,"071_Stuhl_Schreibtischstuhl","match",71,1,5,1,792,0.00126262626262626,6.67456139181443
"4642",20,120,"038_Toaster_2ScheibenToaster","match",38,1,5,1,962,0.00103950103950104,6.86901445066571
"4643",20,60,"053_Regal_Wandregal","mismatch",53,0,5,1,827,0.00120918984280532,6.71780469502369
"4644",20,60,"026_Kamera_Digitalkamera","match",26,1,5,1,613,0.00163132137030995,6.41836493593621
"4645",20,300,"078_Tisch_Sofatisch","mismatch",78,0,5,1,793,0.00126103404791929,6.67582322163485
"4646",20,0,"086_Auto_Polizeiauto","match",86,0,5,1,574,0.00174216027874564,6.35262939631957
"4647",20,300,"085_Auto_Pickuptruck","match",85,0,5,1,399,0.0025062656641604,5.98896141688986
"4648",20,0,"035_Kaffeemaschine_Espressomaschine","match",35,0,5,1,479,0.00208768267223382,6.17170059741091
"4649",20,300,"066_Stuhl_Barstuhl","match",66,1,5,1,704,0.00142045454545455,6.55677835615804
"4650",20,240,"096_Auto_Oldtimer","mismatch",96,0,5,1,515,0.00194174757281553,6.24416690066374
"4651",20,60,"090_Flugzeug_Zweiteweltkriegsflieger","mismatch",90,0,5,1,787,0.00127064803049555,6.6682282484174
"4652",20,120,"058_Sitzbank_Holzbank_mit_Lehne","mismatch",58,0,5,1,726,0.00137741046831956,6.5875500148248
"4653",20,60,"032_Kopfhoerer_Earbudohrhoerer","match",32,1,5,1,381,0.0026246719160105,5.9427993751267
"4654",20,180,"005_Bett_Doppelbett","match",5,0,5,1,670,0.00149253731343284,6.50727771238501
"4655",20,240,"037_Mixer_Standmixer","mismatch",37,1,5,1,509,0.00196463654223969,6.23244801655052
"4656",20,120,"012_Blume_Orchidee","mismatch",12,1,5,1,681,0.00146842878120411,6.52356230614951
"4657",20,60,"083_Ventilator_Standventilator","match",83,0,5,1,601,0.00166389351081531,6.39859493453521
"4658",20,300,"092_Boot_Ruderboot","mismatch",92,1,5,1,868,0.00115207373271889,6.76619171466035
"4659",20,120,"100_Besteck_Loeffel","mismatch",100,1,5,1,441,0.00226757369614512,6.08904487544685
"4660",20,60,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,1,5,1,622,0.00160771704180064,6.43294009273918
"4661",20,120,"045_Lampe_Wandlampe","match",45,0,5,1,394,0.00253807106598985,5.97635090929793
"4662",20,120,"089_Eimer_Muelleimer","mismatch",89,1,5,1,519,0.00192678227360308,6.25190388316589
"4663",20,120,"074_Telefon_Smartphone","mismatch",74,1,5,1,415,0.00240963855421687,6.0282785202307
"4664",20,60,"095_Boot_Kreuzfahrtschiff","mismatch",95,0,5,1,552,0.00181159420289855,6.31354804627709
"4665",20,0,"031_Klavier_Pianino","match",31,0,5,1,653,0.00153139356814701,6.48157712927643
"4666",20,0,"008_Bildschirm_Desktop","match",8,0,5,1,560,0.00178571428571429,6.32793678372919
"4667",20,300,"060_Sitzbank_Schaukelbank","match",60,0,5,1,457,0.00218818380743982,6.12468339089421
"4668",20,180,"019_Drucker_Heimdrucker","mismatch",19,0,5,1,1264,0.000791139240506329,7.1420365747068
"4669",20,60,"036_Kaffeemaschine_Filterkaffeemaschine","match",36,0,5,1,611,0.0016366612111293,6.4150969591716
"4670",20,0,"022_Gitarre_Elektrogitarre","match",22,1,5,1,520,0.00192307692307692,6.25382881157547
"4671",20,0,"054_Schrank_Bueroschrank","match",54,0,5,1,799,0.00125156445556946,6.68336094576627
"4672",20,240,"020_Drucker_Multifunktionsdrucker","mismatch",20,0,5,1,569,0.00175746924428822,6.34388043412633
"4673",20,0,"001_Baum_Bonsai","mismatch",1,0,5,1,381,0.0026246719160105,5.9427993751267
"4674",20,60,"006_Bett_Einzelbett","match",6,0,5,1,719,0.00139082058414465,6.57786135772105
"4675",20,300,"077_Tisch_Rundtisch","mismatch",77,0,5,1,956,0.00104602510460251,6.8627579130514
"4676",20,0,"046_Besteck_Messer","match",46,1,5,1,577,0.00173310225303293,6.3578422665081
"4677",20,180,"064_Sofa_Ledersofa","mismatch",64,0,5,1,553,0.00180831826401447,6.31535800152233
"4679",20,300,"048_Nuss_Mandel","match",48,1,5,1,364,0.00274725274725275,5.89715386763674
"4680",20,300,"057_Seife_Kernseife","match",57,1,5,1,522,0.00191570881226054,6.25766758788264
"4681",20,120,"030_Klavier_Keyboard","mismatch",30,0,5,1,635,0.0015748031496063,6.45362499889269
"4682",20,240,"097_Besteck_Gabel","mismatch",97,1,5,1,516,0.00193798449612403,6.24610676548156
"4683",20,180,"044_Lampe_Tischleuchte","mismatch",44,1,5,1,423,0.00236406619385343,6.04737217904628
"4684",20,180,"056_Seife_Fluessigseife","match",56,1,5,1,741,0.00134952766531714,6.60800062529609
"4685",20,240,"049_Nuss_Pistazie","mismatch",49,1,5,1,428,0.00233644859813084,6.0591231955818
"4687",20,300,"021_Gitarre_Akustikgitarre","match",21,1,5,1,373,0.00268096514745308,5.92157841964382
"4688",20,180,"043_Lampe_Strassenlaterne","match",43,0,5,1,462,0.00216450216450216,6.13556489108174
"4689",20,60,"052_Regal_Metallregal","match",52,0,5,1,388,0.00257731958762887,5.96100533962327
"4691",20,240,"007_Bett_Krankenhausbett","match",7,0,5,1,841,0.00118906064209275,6.73459165997295
"4692",20,180,"015_Blume_Tulpen","match",15,1,5,1,378,0.00264550264550265,5.93489419561959
"4693",20,240,"067_Stuhl_Buerostuhl","mismatch",67,1,5,1,515,0.00194174757281553,6.24416690066374
"4694",20,0,"013_Blume_Rosen","mismatch",13,1,5,1,387,0.00258397932816537,5.95842469302978
"4695",20,300,"047_Nuss_Erdnuss","mismatch",47,1,5,1,584,0.00171232876712329,6.36990098282823
"4696",20,120,"076_Tisch_Holztisch","match",76,0,5,1,592,0.00168918918918919,6.38350663488401
"4697",20,300,"087_Auto_Panzer","mismatch",87,0,5,1,645,0.00155038759689922,6.46925031679577
"4698",20,240,"055_Schrank_Kleiderschrank","match",55,0,5,1,470,0.00212765957446809,6.1527326947041
"4700",20,180,"084_Ventilator_Tischventilator","mismatch",84,1,5,1,468,0.00213675213675214,6.14846829591765
"4701",20,180,"063_Sofa_Ecksofa","mismatch",63,0,6,1,562,0.00177935943060498,6.33150184989369
"4702",20,0,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,1,6,1,450,0.00222222222222222,6.10924758276437
"4703",20,300,"008_Bildschirm_Desktop","mismatch",8,0,6,1,605,0.00165289256198347,6.40522845803084
"4704",20,60,"076_Tisch_Holztisch","mismatch",76,0,6,1,531,0.00188323917137476,6.27476202124194
"4705",20,60,"029_Klavier_Fluegel","match",29,0,6,1,607,0.00164744645799012,6.4085287910595
"4706",20,240,"006_Bett_Einzelbett","mismatch",6,0,6,1,555,0.0018018018018018,6.31896811374643
"4708",20,60,"043_Lampe_Strassenlaterne","mismatch",43,0,6,1,580,0.00172413793103448,6.36302810354046
"4709",20,60,"099_Eimer_Wassereimer","match",99,1,6,1,458,0.00218340611353712,6.12686918411419
"4710",20,0,"015_Blume_Tulpen","match",15,1,6,1,406,0.00246305418719212,6.00635315960173
"4711",20,300,"058_Sitzbank_Holzbank_mit_Lehne","match",58,0,6,1,463,0.00215982721382289,6.13772705408623
"4712",20,240,"100_Besteck_Loeffel","match",100,1,6,1,717,0.00139470013947001,6.57507584059962
"4713",20,0,"064_Sofa_Ledersofa","match",64,0,6,1,414,0.00241545893719807,6.02586597382531
"4714",20,60,"003_Baum_Tanne","match",3,0,6,1,409,0.00244498777506112,6.0137151560428
"4715",20,120,"035_Kaffeemaschine_Espressomaschine","match",35,0,6,1,646,0.00154798761609907,6.4707995037826
"4716",20,180,"047_Nuss_Erdnuss","mismatch",47,1,6,1,530,0.00188679245283019,6.27287700654617
"4717",20,0,"045_Lampe_Wandlampe","match",45,0,6,1,401,0.00249376558603491,5.99396142730657
"4719",20,240,"092_Boot_Ruderboot","mismatch",92,1,6,1,564,0.00177304964539007,6.33505425149806
"4720",20,120,"025_Glas_Weinglas","match",25,1,6,1,455,0.0021978021978022,6.12029741895095
"4721",20,0,"056_Seife_Fluessigseife","mismatch",56,1,6,1,605,0.00165289256198347,6.40522845803084
"4722",20,240,"032_Kopfhoerer_Earbudohrhoerer","match",32,1,6,1,408,0.00245098039215686,6.01126717440416
"4724",20,300,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,0,6,1,469,0.00213219616204691,6.15060276844628
"4725",20,240,"087_Auto_Panzer","mismatch",87,0,6,1,582,0.00171821305841924,6.36647044773144
"4726",20,0,"077_Tisch_Rundtisch","match",77,0,6,1,592,0.00168918918918919,6.38350663488401
"4727",20,60,"061_Sitzbank_Baumbank","mismatch",61,0,6,1,586,0.00170648464163823,6.37331978957701
"4728",20,180,"009_Bildschirm_Flachbildfernseher","mismatch",9,0,6,1,671,0.0014903129657228,6.50876913697168
"4729",20,180,"013_Blume_Rosen","match",13,1,6,1,532,0.0018796992481203,6.27664348934164
"4730",20,0,"073_Telefon_Schnurtelefon","match",73,1,6,1,588,0.00170068027210884,6.37672694789863
"4731",20,60,"018_Computer_Tablet","match",18,1,6,1,395,0.00253164556962025,5.97888576490112
"4732",20,120,"052_Regal_Metallregal","mismatch",52,0,6,1,657,0.0015220700152207,6.48768401848461
"4733",20,60,"070_Stuhl_Schalenstuhl","match",70,1,6,1,568,0.00176056338028169,6.34212141872115
"4734",20,180,"054_Schrank_Bueroschrank","mismatch",54,0,6,1,1477,0.000677048070412999,7.29776828253138
"4735",20,300,"049_Nuss_Pistazie","match",49,1,6,1,357,0.00280112044817927,5.87773578177964
"4736",20,60,"088_Flugzeug_Kampfflieger","mismatch",88,0,6,1,425,0.00235294117647059,6.05208916892442
"4737",20,60,"089_Eimer_Muelleimer","mismatch",89,1,6,1,671,0.0014903129657228,6.50876913697168
"4738",20,0,"079_Tisch_Schreibtisch","match",79,0,6,1,513,0.00194931773879142,6.24027584517077
"4739",20,0,"062_Sofa_Dreiersofa","match",62,0,6,1,458,0.00218340611353712,6.12686918411419
"4740",20,180,"074_Telefon_Smartphone","match",74,1,6,1,497,0.00201207243460765,6.20859002609663
"4741",20,240,"082_Uhr_Wanduhr","mismatch",82,0,6,1,477,0.00209643605870021,6.16751649088834
"4742",20,300,"097_Besteck_Gabel","mismatch",97,1,6,1,604,0.00165562913907285,6.40357419793482
"4743",20,240,"095_Boot_Kreuzfahrtschiff","match",95,0,6,1,580,0.00172413793103448,6.36302810354046
"4744",20,240,"017_Computer_PC","mismatch",17,0,6,1,685,0.00145985401459854,6.52941883826223
"4745",20,120,"011_Blume_Kaktus","match",11,0,6,1,684,0.00146198830409357,6.52795791762255
"4746",20,300,"069_Stuhl_Rollstuhl","mismatch",69,1,6,1,423,0.00236406619385343,6.04737217904628
"4747",20,0,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,0,6,1,566,0.00176678445229682,6.33859407820318
"4748",20,120,"002_Baum_Palme","match",2,0,6,1,402,0.00248756218905473,5.99645208861902
"4749",20,300,"044_Lampe_Tischleuchte","mismatch",44,1,6,1,599,0.00166944908180301,6.39526159811545
"4750",20,0,"020_Drucker_Multifunktionsdrucker","match",20,0,6,1,919,0.00108813928182807,6.82328612235569
"4751",20,60,"004_Baum_Weide","mismatch",4,0,6,1,856,0.00116822429906542,6.75227037614174
"4753",20,300,"037_Mixer_Standmixer","match",37,1,6,1,504,0.00198412698412698,6.22257626807137
"4754",20,240,"040_Lampe_Deckenlampe","mismatch",40,0,6,1,507,0.0019723865877712,6.22851100359118
"4755",20,0,"067_Stuhl_Buerostuhl","mismatch",67,1,6,1,470,0.00212765957446809,6.1527326947041
"4756",20,60,"091_Flugzeug_Segelflieger","mismatch",91,0,6,1,445,0.00224719101123596,6.09807428216624
"4757",20,0,"048_Nuss_Mandel","mismatch",48,1,6,1,1043,0.000958772770853308,6.94985645500077
"4759",20,240,"053_Regal_Wandregal","match",53,0,6,1,575,0.00173913043478261,6.35437004079735
"4760",20,180,"096_Auto_Oldtimer","match",96,0,6,1,427,0.00234192037470726,6.05678401322862
"4761",20,240,"031_Klavier_Pianino","mismatch",31,0,6,1,413,0.00242130750605327,6.02344759296103
"4762",20,120,"028_Wasserkocher_retroWasserkocher","mismatch",28,1,6,1,488,0.00204918032786885,6.19031540585315
"4763",20,240,"027_Kamera_Spiegelreflexkamera","mismatch",27,1,6,1,573,0.00174520069808028,6.35088571671474
"4764",20,240,"001_Baum_Bonsai","match",1,0,6,1,661,0.00151285930408472,6.49375383985169
"4765",20,300,"084_Ventilator_Tischventilator","match",84,1,6,1,563,0.00177619893428064,6.33327962813969
"4766",20,0,"050_Nuss_Wallnuss","mismatch",50,1,6,1,814,0.00122850122850123,6.70196036600254
"4767",20,60,"072_Sessel_Ledersessel","match",72,0,6,1,649,0.00154083204930663,6.47543271670409
"4768",20,0,"034_Korb_Waeschekorb","mismatch",34,1,6,1,432,0.00231481481481481,6.06842558824411
"4769",20,0,"012_Blume_Orchidee","mismatch",12,1,6,1,447,0.00223713646532438,6.10255859461357
"4770",20,120,"086_Auto_Polizeiauto","mismatch",86,0,6,1,451,0.00221729490022173,6.11146733950268
"4771",20,0,"030_Klavier_Keyboard","mismatch",30,0,6,1,374,0.00267379679144385,5.92425579741453
"4772",20,180,"038_Toaster_2ScheibenToaster","match",38,1,6,1,785,0.00127388535031847,6.66568371778241
"4773",20,240,"014_Blume_Sonnenblume","match",14,1,6,1,347,0.00288184438040346,5.84932477994686
"4774",20,300,"007_Bett_Krankenhausbett","match",7,0,6,1,653,0.00153139356814701,6.48157712927643
"4775",20,0,"085_Auto_Pickuptruck","mismatch",85,0,6,1,770,0.0012987012987013,6.64639051484773
"4776",20,240,"021_Gitarre_Akustikgitarre","mismatch",21,1,6,1,397,0.00251889168765743,5.98393628068719
"4777",20,60,"081_Uhr_Digitaluhr","mismatch",81,1,6,1,869,0.00115074798619102,6.76734312526539
"4778",20,300,"098_Auto_Van","mismatch",98,0,6,1,448,0.00223214285714286,6.10479323241498
"4779",20,0,"068_Stuhl_Holzstuhl","match",68,1,6,1,467,0.00214132762312634,6.1463292576689
"4780",20,240,"057_Seife_Kernseife","mismatch",57,1,6,1,360,0.00277777777777778,5.88610403145016
"4781",20,0,"066_Stuhl_Barstuhl","match",66,1,6,1,545,0.0018348623853211,6.30078579466324
"4782",20,0,"042_Lampe_Stehlampe","match",42,0,6,1,438,0.00228310502283105,6.08221891037645
"4783",20,180,"055_Schrank_Kleiderschrank","mismatch",55,0,6,1,1029,0.000971817298347911,6.93634273583405
"4784",20,300,"023_Glas_Sektglas","match",23,1,6,1,478,0.00209205020920502,6.16961073249146
"4785",20,0,"083_Ventilator_Standventilator","match",83,0,6,1,676,0.0014792899408284,6.51619307604296
"4786",20,120,"026_Kamera_Digitalkamera","match",26,1,6,1,585,0.00170940170940171,6.37161184723186
"4787",20,60,"075_Tisch_Etagentisch","match",75,0,6,1,697,0.00143472022955524,6.54678541076052
"4788",20,0,"060_Sitzbank_Schaukelbank","mismatch",60,0,6,1,518,0.00193050193050193,6.24997524225948
"4789",20,180,"024_Glas_Trinkglas","match",24,1,6,1,681,0.00146842878120411,6.52356230614951
"4790",20,60,"010_Blume_Gaenseblume","match",10,1,6,1,367,0.00272479564032698,5.90536184805457
"4791",20,120,"093_Boot_Kanu","match",93,1,6,1,684,0.00146198830409357,6.52795791762255
"4792",20,180,"071_Stuhl_Schreibtischstuhl","mismatch",71,1,6,1,560,0.00178571428571429,6.32793678372919
"4794",20,0,"039_Wasserkocher_modernerWasserkocher","mismatch",39,1,6,1,471,0.00212314225053079,6.15485809401642
"4795",20,0,"051_Regal_Holzregal","match",51,0,6,1,623,0.00160513643659711,6.43454651878745
"4796",20,120,"078_Tisch_Sofatisch","match",78,0,6,1,450,0.00222222222222222,6.10924758276437
"4797",20,240,"065_Sofa_Zweiersofa","mismatch",65,0,6,1,595,0.00168067226890756,6.38856140554563
"4798",20,300,"005_Bett_Doppelbett","mismatch",5,0,6,1,511,0.00195694716242661,6.2363695902037
"4799",20,60,"019_Drucker_Heimdrucker","mismatch",19,0,6,1,854,0.00117096018735363,6.74993119378857
"4800",20,180,"041_Lampe_Schreibtischlampe","match",41,1,6,1,382,0.00261780104712042,5.94542060860658
"4802",21,60,"082_Uhr_Wanduhr","mismatch",82,0,1,1,1659,0.000602772754671489,7.41397029019044
"4803",21,240,"004_Baum_Weide","match",4,0,1,1,1772,0.000564334085778781,7.47986413116503
