"","sub","rotation","imagename","match","imgID","movable","block","correct","response_time"
"196",13,180,"035_Kaffeemaschine_Espressomaschine","match",35,0,2,0,2406
"197",13,120,"040_Lampe_Deckenlampe","mismatch",40,0,2,0,566
"198",13,120,"099_Eimer_Wassereimer","match",99,1,2,0,2039
"199",13,240,"079_Tisch_Schreibtisch","mismatch",79,0,2,1,2274
"200",13,300,"086_Auto_Polizeiauto","match",86,0,2,1,829
"201",13,120,"038_Toaster_2ScheibenToaster","match",38,1,3,0,645
"202",13,180,"068_Stuhl_Holzstuhl","mismatch",68,1,3,0,1230
"203",13,300,"087_Auto_Panzer","mismatch",87,0,3,1,928
"204",13,120,"037_Mixer_Standmixer","match",37,1,3,1,795
"205",13,60,"073_Telefon_Schnurtelefon","mismatch",73,1,3,1,1990
"206",13,300,"047_Nuss_Erdnuss","match",47,1,3,1,454
"207",13,120,"069_Stuhl_Rollstuhl","match",69,1,3,1,749
"208",13,0,"088_Flugzeug_Kampfflieger","match",88,0,3,1,1812
"209",13,240,"071_Stuhl_Schreibtischstuhl","mismatch",71,1,3,1,798
"210",13,0,"074_Telefon_Smartphone","match",74,1,3,1,846
"211",13,120,"020_Drucker_Multifunktionsdrucker","match",20,0,3,0,1056
"212",13,300,"093_Boot_Kanu","mismatch",93,1,3,1,980
"213",13,300,"056_Seife_Fluessigseife","mismatch",56,1,3,1,1414
"214",13,0,"010_Blume_Gaenseblume","mismatch",10,1,3,1,1653
"215",13,180,"084_Ventilator_Tischventilator","match",84,1,3,0,1534
"216",13,300,"013_Blume_Rosen","match",13,1,3,1,573
"217",13,0,"086_Auto_Polizeiauto","mismatch",86,0,3,1,825
"218",13,0,"022_Gitarre_Elektrogitarre","match",22,1,3,1,807
"219",13,0,"003_Baum_Tanne","mismatch",3,0,3,1,1011
"220",13,120,"033_Kopfhoerer_Muschelkopfhoerer","match",33,1,3,1,932
"221",13,240,"052_Regal_Metallregal","mismatch",52,0,3,1,1363
"222",13,120,"060_Sitzbank_Schaukelbank","match",60,0,3,1,1399
"223",13,60,"064_Sofa_Ledersofa","match",64,0,3,1,2228
"224",13,180,"016_Computer_Laptop","match",16,1,3,0,1796
"225",13,0,"070_Stuhl_Schalenstuhl","match",70,1,3,1,1215
"226",13,240,"083_Ventilator_Standventilator","match",83,0,3,1,1169
"227",13,300,"061_Sitzbank_Baumbank","mismatch",61,0,3,1,2643
"228",13,120,"076_Tisch_Holztisch","match",76,0,3,1,1081
"229",13,300,"044_Lampe_Tischleuchte","match",44,1,3,1,1019
"230",13,0,"051_Regal_Holzregal","mismatch",51,0,3,1,1566
"231",13,0,"042_Lampe_Stehlampe","match",42,0,3,1,664
"232",13,180,"021_Gitarre_Akustikgitarre","mismatch",21,1,3,1,1368
"233",13,120,"041_Lampe_Schreibtischlampe","mismatch",41,1,3,1,1257
"234",13,0,"001_Baum_Bonsai","match",1,0,3,1,902
"235",13,300,"048_Nuss_Mandel","match",48,1,3,1,521
"236",13,180,"036_Kaffeemaschine_Filterkaffeemaschine","match",36,0,3,1,1527
"237",13,0,"040_Lampe_Deckenlampe","mismatch",40,0,3,1,1899
"238",13,60,"023_Glas_Sektglas","match",23,1,3,1,835
"239",13,0,"049_Nuss_Pistazie","match",49,1,3,1,789
"240",13,240,"055_Schrank_Kleiderschrank","match",55,0,3,1,1300
"241",13,300,"008_Bildschirm_Desktop","mismatch",8,0,3,0,1409
"242",13,300,"018_Computer_Tablet","match",18,1,3,1,1370
"243",13,180,"027_Kamera_Spiegelreflexkamera","mismatch",27,1,3,1,693
"244",13,120,"058_Sitzbank_Holzbank_mit_Lehne","match",58,0,3,0,1421
"245",13,60,"032_Kopfhoerer_Earbudohrhoerer","match",32,1,3,1,1831
"246",13,120,"080_Uhr_Armbanduhr","match",80,1,3,1,862
"247",13,300,"034_Korb_Waeschekorb","mismatch",34,1,3,1,693
"248",13,0,"089_Eimer_Muelleimer","match",89,1,3,1,1382
"249",13,180,"031_Klavier_Pianino","mismatch",31,0,3,1,2486
"250",13,300,"012_Blume_Orchidee","mismatch",12,1,3,1,801
"251",13,180,"079_Tisch_Schreibtisch","match",79,0,3,1,758
"252",13,0,"072_Sessel_Ledersessel","match",72,0,3,1,868
"253",13,0,"004_Baum_Weide","match",4,0,3,1,1097
"254",13,120,"090_Flugzeug_Zweiteweltkriegsflieger","match",90,0,3,1,1043
"255",13,300,"050_Nuss_Wallnuss","match",50,1,3,1,939
"256",13,240,"094_Boot_Segelschiff","match",94,0,3,0,2558
"257",13,180,"006_Bett_Einzelbett","match",6,0,3,0,1104
"258",13,240,"015_Blume_Tulpen","match",15,1,3,1,596
"259",13,0,"075_Tisch_Etagentisch","mismatch",75,0,3,1,1435
"260",13,300,"017_Computer_PC","mismatch",17,0,3,1,1490
